Sl no,Debit,Credit,Date,Transaction Description,Status
1,0,0,1/1/21,Groceries,
2,0,0,1/2/21,Dining Out,
3,0,0,1/3/21,Miscellaneous,
4,-20000,0,1/4/21,EMI Car Loan,
5,-30000,0,1/5/21,EMI Home Loan,
6,0,200000,1/6/21,Salary,
7,0,0,1/7/21,Utilities,
8,0,0,1/8/21,Utilities,
9,0,0,1/9/21,Groceries,
10,-20000,0,1/10/21,EMI Car Loan,
11,0,0,1/11/21,Salary,
12,-20000,37498,1/12/21,EMI Car Loan,
13,0,,1/13/21,Salary,
14,0,76324,1/14/21,Groceries,
15,0,125203,1/15/21,Groceries,
16,0,141335,1/16/21,Utilities,
17,-20000,0,1/17/21,EMI Car Loan,
18,-8910,0,1/18/21,Dining Out,
19,0,17221,1/19/21,Utilities,
20,-20000,14820,1/20/21,EMI Car Loan,
21,-49231,0,1/21/21,Utilities,
22,0,9735,1/22/21,Dining Out,
23,-30000,144027,1/23/21,EMI Home Loan,
24,-30000,14925,1/24/21,EMI Home Loan,
25,-30000,149041,1/25/21,EMI Home Loan,
26,-30000,0,1/26/21,EMI Home Loan,
27,0,53355,1/27/21,Miscellaneous,
28,0,150000,1/28/21,Salary,
29,0,164176,1/29/21,Miscellaneous,
30,0,134779,1/30/21,Miscellaneous,
31,0,35305,1/31/21,Miscellaneous,
32,-30000,109765,2/1/21,EMI Home Loan,
33,0,153004,2/2/21,Dining Out,
34,0,174088,2/3/21,Groceries,
35,0,80608,2/4/21,Groceries,
36,0,150000,2/5/21,Salary,
37,-30000,106730,2/6/21,EMI Home Loan,
38,-30000,34478,2/7/21,EMI Home Loan,
39,-30000,72537,2/8/21,EMI Home Loan,
40,0,99503,2/9/21,Utilities,
41,-20000,80523,2/10/21,EMI Car Loan,
42,-47253,0,2/11/21,Utilities,
43,-20000,73855,2/12/21,EMI Car Loan,
44,-30000,140222,2/13/21,EMI Home Loan,
45,-30000,15725,2/14/21,EMI Home Loan,
46,0,79981,2/15/21,Utilities,
47,0,34654,2/16/21,Utilities,
48,-20000,116845,2/17/21,EMI Car Loan,
49,0,69346,2/18/21,Groceries,
50,-20000,17435,2/19/21,EMI Car Loan,
51,0,6886,2/20/21,Utilities,
52,0,16803,2/21/21,Dining Out,
53,-18449,0,2/22/21,Utilities,
54,0,66216,2/23/21,Dining Out,
55,-38606,150000,2/24/21,Salary,
56,0,19092,2/25/21,Utilities,
57,-46110,150000,2/26/21,Salary,
58,-8394,0,2/27/21,Groceries,
59,-20000,177348,2/28/21,EMI Car Loan,
60,0,161110,3/1/21,Dining Out,
61,-20000,37313,3/2/21,EMI Car Loan,
62,0,150000,3/3/21,Salary,
63,-41208,0,3/4/21,Dining Out,
64,-20000,189931,3/5/21,EMI Car Loan,
65,0,189629,3/6/21,Utilities,
66,-30000,155041,3/7/21,EMI Home Loan,
67,0,150000,3/8/21,Salary,
68,-20000,157624,3/9/21,EMI Car Loan,
69,0,150000,3/10/21,Salary,
70,0,18148,3/11/21,Miscellaneous,
71,0,150000,3/12/21,Salary,
72,0,70174,3/13/21,Dining Out,
73,0,104555,3/14/21,Miscellaneous,
74,0,74358,3/15/21,Dining Out,
75,-30000,0,3/16/21,EMI Home Loan,
76,-32841,0,3/17/21,Miscellaneous,
77,0,60510,3/18/21,Utilities,
78,0,150000,3/19/21,Salary,
79,-20000,30077,3/20/21,EMI Car Loan,
80,-14080,0,3/21/21,Groceries,
81,0,150000,3/22/21,Salary,
82,0,150000,3/23/21,Salary,
