Location,Category,Quantity,Month,city,sales,Distributor,country,state,Latitude_D,Longitude_D,Manufacturing_Plant,Latitude,Longitude
East,Painkiller,5356,2023-01,Bangalore,535600,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
South,Painkiller,3900,2023-01,Bangalore,390000,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
West,Painkiller,2345,2023-01,Bangalore,234500,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
North,Painkiller,4666,2023-01,Bangalore,466600,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
South,Painkiller,2555,2023-02,Bangalore,255500,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
East,Painkiller,3124,2023-02,Bangalore,312400,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Painkiller,4325,2023-03,Bangalore,432500,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
West,Allergy,5352,2023-01,Bangalore,428160,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
East,Allergy,5343,2023-01,Bangalore,427440,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,4231,2023-02,Bangalore,338480,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
West,Allergy,5234,2023-02,Bangalore,418720,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
East,Allergy,3442,2024-12,Bangalore,275360,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
West,Allergy,634,2024-03,Bangalore,50720,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
South,Antibiotic,5325,2023-01,Bangalore,639000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
East,Antibiotic,5325,2023-01,Bangalore,639000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
South,Antibiotic,2900,2023-02,Bangalore,348000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
East,Antibiotic,1423,2023-01,Bangalore,170760,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
North,Antibiotic,500,2023-07,Bangalore,60000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
West,Allergy,2314,2023-06,Bangalore,185120,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Antibiotic,2300,2023-02,Bangalore,276000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
North,Painkiller,4255,2023-01,Bangalore,425500,D,India,MH,12.935,77.6101,MP1,12.925453,77.546761
West,Antibiotic,1500,2024-09,Bangalore,180000,C,India,MH,12.95184,77.699577,MP2,12.98005,77.67971
East,Antibiotic,5325,2023-02,Bangalore,639000,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
North,Painkiller,5463,2023-02,Bangalore,546300,D,India,MH,12.935,77.6101,MP2,12.98005,77.67971
South,Antibiotic,1900,2023-03,Bangalore,228000,B,India,MH,12.9279,77.6271,MP1,12.925453,77.546761
West,Allergy,6413,2023-06,Bangalore,769560,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,500,2023-05,Bangalore,60000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
South,Antibiotic,2300,2023-06,Bangalore,276000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
West,Allergy,4432,2024-07,Bangalore,354560,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Painkiller,2341,2023-01,Bangalore,234100,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Painkiller,4453,2023-04,Bangalore,445300,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
South,Painkiller,2342,2023-03,Bangalore,234200,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
West,Painkiller,2331,2023-02,Bangalore,233100,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
North,Painkiller,1423,2023-04,Bangalore,142300,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
South,Painkiller,1234,2023-04,Bangalore,123400,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
East,Painkiller,3900,2023-05,Bangalore,390000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Painkiller,2555,2023-01,Bangalore,255500,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
North,Painkiller,2342,2023-02,Bangalore,234200,D,India,MH,12.935,77.6101,MP1,12.925453,77.546761
North,Painkiller,1234,2023-03,Bangalore,123400,D,India,MH,12.935,77.6101,MP2,12.98005,77.67971
East,Painkiller,3355,2023-02,Bangalore,335500,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
South,Painkiller,3355,2023-05,Bangalore,335500,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Painkiller,5356,2023-06,Bangalore,535600,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,2345,2023-07,Bangalore,234500,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Painkiller,4666,2023-08,Bangalore,466600,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,3124,2023-09,Bangalore,312400,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,4325,2023-10,Bangalore,432500,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Painkiller,4255,2023-11,Bangalore,425500,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,5463,2023-12,Bangalore,546300,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Painkiller,2341,2023-08,Bangalore,234100,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,4453,2023-08,Bangalore,445300,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Painkiller,3253,2023-04,Bangalore,325300,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Painkiller,1423,2023-06,Bangalore,142300,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Painkiller,6413,2023-03,Bangalore,641300,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,5325,2023-10,Bangalore,532500,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,2331,2023-12,Bangalore,233100,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Painkiller,1345,2023-05,Bangalore,134500,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
East,Painkiller,3124,2023-07,Bangalore,312400,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Painkiller,4325,2023-08,Bangalore,432500,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Painkiller,4453,2023-09,Bangalore,445300,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Painkiller,4325,2023-10,Bangalore,432500,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Painkiller,4453,2023-11,Bangalore,445300,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Painkiller,3900,2023-12,Bangalore,390000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Painkiller,2555,2023-08,Bangalore,255500,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
West,Painkiller,5356,2023-03,Bangalore,535600,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,2345,2023-04,Bangalore,234500,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,4666,2023-05,Bangalore,466600,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,3124,2023-06,Bangalore,312400,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,4325,2023-07,Bangalore,432500,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,4255,2023-08,Bangalore,425500,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Painkiller,5463,2023-09,Bangalore,546300,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,2341,2023-10,Bangalore,234100,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,4453,2023-11,Bangalore,445300,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,3253,2023-12,Bangalore,325300,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Painkiller,1423,2023-01,Bangalore,142300,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Painkiller,5325,2023-03,Bangalore,532500,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
North,Painkiller,3900,2023-05,Bangalore,390000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Painkiller,2555,2023-10,Bangalore,255500,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
North,Painkiller,2342,2023-06,Bangalore,234200,D,India,MH,12.935,77.6101,MP2,12.98005,77.67971
North,Painkiller,1234,2023-07,Bangalore,123400,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Painkiller,3355,2023-11,Bangalore,335500,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
North,Painkiller,5356,2023-08,Bangalore,535600,D,India,MH,12.935,77.6101,MP2,12.98005,77.67971
North,Painkiller,2345,2023-09,Bangalore,234500,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Painkiller,4666,2023-05,Bangalore,466600,D,India,MH,12.935,77.6101,MP1,12.925453,77.546761
North,Painkiller,3124,2023-10,Bangalore,312400,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Painkiller,4325,2023-11,Bangalore,432500,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Painkiller,4255,2023-04,Bangalore,425500,D,India,MH,12.935,77.6101,MP1,12.925453,77.546761
North,Painkiller,5463,2023-12,Bangalore,546300,D,India,MH,12.935,77.6101,MP2,12.98005,77.67971
East,Painkiller,5356,2023-01,Bangalore,535600,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,3124,2023-02,Bangalore,312400,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,4325,2023-03,Bangalore,432500,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Painkiller,4453,2023-04,Bangalore,445300,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,3900,2023-05,Bangalore,390000,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,2555,2023-04,Bangalore,255500,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Painkiller,3124,2023-07,Bangalore,312400,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,4325,2023-08,Bangalore,432500,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Painkiller,4453,2023-09,Bangalore,445300,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,4325,2023-10,Bangalore,432500,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Painkiller,4453,2023-11,Bangalore,445300,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,3900,2023-12,Bangalore,390000,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
East,Painkiller,2555,2023-09,Bangalore,255500,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Painkiller,3124,2023-07,Bangalore,312400,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,4244,2023-01,Bangalore,339520,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,4241,2023-05,Bangalore,339280,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,5343,2023-01,Bangalore,427440,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
West,Allergy,2341,2023-02,Bangalore,187280,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
